performance_id,section_id,tier_id
1,14,1
1,15,1
1,16,2
1,17,3
2,24,4
2,25,4
2,26,5
2,27,6
3,5,7
3,6,8
3,7,9
4,18,10
4,19,10
4,20,11
4,21,12
5,8,13
5,9,14
5,10,15
6,8,16
6,9,17
6,10,18
7,8,19
7,9,20
7,10,21
8,8,22
8,9,23
8,10,24
9,8,25
9,9,26
9,10,27
10,8,28
10,9,29
10,10,30
11,8,31
11,9,32
11,10,33
12,8,34
12,9,35
12,10,36
13,8,37
13,9,38
13,10,39
14,8,40
14,9,41
14,10,42
15,8,43
15,9,44
15,10,45
16,8,46
16,9,47
16,10,48
17,1,49
17,2,49
17,3,50
17,4,51
18,1,54
18,2,53
18,3,52
18,4,52
19,24,55
19,25,55
19,26,56
19,27,56
20,8,57
20,9,58
20,10,59
21,18,60
21,19,60
21,20,61
21,21,62
22,18,63
22,19,63
22,20,64
22,21,65
23,22,66
23,23,67
24,1,69
24,2,69
24,3,70
24,4,70
25,18,71
25,19,71
25,20,72
25,21,73
26,11,74
26,12,75
26,13,76
27,24,77
27,25,77
27,26,78
27,27,79
28,11,80
28,12,80
28,13,81
29,24,82
29,25,82
29,26,83
29,27,83
30,11,84
30,12,84
30,13,85
31,11,86
31,12,87
31,13,88
32,22,89
32,23,90
33,11,92
33,12,93
33,13,94
34,22,95
34,23,96
35,14,97
35,15,97
35,16,98
35,17,98
36,11,99
36,12,100
36,13,101
37,18,102
37,19,102
37,20,103
37,21,104
38,14,105
38,15,105
38,16,106
38,17,107
39,14,108
39,15,108
39,16,109
39,17,109
40,5,110
40,6,111
40,7,112
41,8,113
41,9,113
41,10,114
42,24,115
42,25,115
42,26,116
42,27,117
43,5,118
43,6,118
43,7,119
44,1,120
44,2,120
44,3,121
44,4,122
45,14,123
45,15,123
45,16,124
45,17,125
46,1,126
46,2,126
46,3,127
46,4,127
47,14,128
47,15,128
47,16,129
47,17,130
48,14,131
48,15,131
48,16,132
48,17,133
49,18,134
49,19,134
49,20,135
49,21,136
50,8,137
50,9,138
50,10,139
51,18,140
51,19,140
51,20,141
51,21,142
52,18,143
52,19,143
52,20,144
52,21,144
53,8,145
53,9,146
53,10,147
54,18,148
54,19,148
54,20,149
54,21,150
55,1,151
55,2,151
55,3,152
55,4,153
56,5,154
56,6,154
56,7,155
57,1,156
57,2,156
57,3,157
57,4,157
58,8,158
58,9,158
58,10,159
59,14,160
59,15,160
59,16,161
59,17,161
60,18,162
60,19,162
60,20,163
60,21,164
61,24,165
61,25,165
61,26,166
61,27,167
62,24,168
62,25,168
62,26,169
62,27,169
63,1,170
63,2,170
63,3,171
63,4,172
64,24,173
64,25,173
64,26,174
64,27,174
